tag,length,average_ratio,point
sorted,109,0.49991320175069526,0
sorted,110,0.49992316632231354,0
sorted,111,0.4999150332765186,0
sorted,112,0.4999121841119254,0
sorted,113,0.49992780366512474,0
sorted,114,0.4999272612726986,0
sorted,115,0.49992674858223135,0
sorted,116,0.4999245225178353,0
sorted,117,0.4999223829352005,0
sorted,118,0.4999068604567657,0
sorted,119,0.49992496998799635,0
sorted,120,0.49990885416666764,0
sorted,121,0.4999156905266005,0
sorted,122,0.49992913951222756,0
sorted,123,0.49992150836142313,0
sorted,124,0.4999298826092616,0
sorted,125,0.4999299999999989,0
sorted,126,0.499929630416981,0
sorted,127,0.4999234685969393,0
sorted,128,0.4999394416809082,0
sorted,129,0.49992394537587653,0
sorted,130,0.4999297337278103,0
sorted,131,0.49990986102208596,0
sorted,132,0.4999336403810839,0
sorted,133,0.49991785148962886,0
sorted,134,0.4999282099298296,0
sorted,135,0.49992541152263265,0
sorted,136,0.4999298834883211,0
sorted,137,0.49993007086152574,0
sorted,138,0.4999364136998522,0
sorted,139,0.49993126002794736,0
sorted,140,0.4999218749999989,0
sorted,141,0.4999386977516204,0
sorted,142,0.49993413385240965,0
sorted,143,0.4999251185877068,0
sorted,144,0.499931429639276,0
sorted,145,0.4999405469678945,0
sorted,146,0.49992743127228517,0
sorted,147,0.4999341998704248,0
sorted,148,0.4999340160472958,0
sorted,149,0.4999225823161101,0
sorted,150,0.49994375000000113,0
sorted,151,0.4999444925661167,0
sorted,152,0.4999381194814757,0
sorted,153,0.4999365895595721,0
sorted,154,0.49993708097908557,0
sorted,155,0.4999284599375658,0
sorted,156,0.49994317831607454,0
sorted,157,0.4999340744046426,0
sorted,158,0.4999273954494464,0
sorted,159,0.49994375716941514,0
sorted,160,0.49994628906249916,0
sorted,161,0.4999270620346446,0
sorted,162,0.4999330204046645,0
sorted,163,0.49994119086153355,0
sorted,164,0.4999334822092522,0
sorted,165,0.4999311294765836,0
sorted,166,0.4999257194440425,0
sorted,167,0.49993949227293727,0
sorted,168,0.4999391032454634,0
sorted,169,0.4999310685900342,0
sorted,170,0.49994458261245567,0
sorted,171,0.49993587770596115,0
sorted,172,0.4999471842888053,0
sorted,173,0.4999378738013277,0
sorted,174,0.4999362634595063,0
sorted,175,0.4999382653061218,0
sorted,176,0.4999470356082139,0
sorted,177,0.4999411487758957,0
sorted,178,0.4999529040682999,0
sorted,179,0.49995220966886333,0
sorted,180,0.4999421296296285,0
sorted,181,0.4999327515948846,0
sorted,182,0.49994929092198936,0
sorted,183,0.4999449446086781,0
sorted,184,0.4999466951943536,0
sorted,185,0.4999406501095676,0
sorted,186,0.4999525776101289,0
sorted,187,0.49993699776945383,0
sorted,188,0.49995313914667416,0
sorted,189,0.49994138601942634,0
sorted,190,0.49993962084487487,0
sorted,191,0.4999460335517126,0
sorted,192,0.4999387529161232,0
sorted,193,0.49995385782168866,0
sorted,194,0.49995308680518785,0
sorted,195,0.4999465811965827,0
sorted,196,0.49995098884579275,0
sorted,197,0.4999484655621124,0
sorted,198,0.49993981800326537,0
sorted,199,0.49994712886037923,0
sorted,200,0.49994023437499896,0
sorted,201,0.4999493360312858,0
sorted,202,0.49995615472747723,0
sorted,203,0.4999503294183324,0
sorted,204,0.4999476238105531,0
sorted,205,0.49994646044021285,0
sorted,206,0.49994237646102224,0
sorted,207,0.4999423848864598,0
sorted,208,0.4999512441059533,0
sorted,209,0.49996029452164725,0
sorted,210,0.4999477395124703,0
sorted,211,0.4999575340850412,0
sorted,212,0.49994593966936723,0
sorted,213,0.4999493734708693,0
sorted,214,0.4999459218599888,0
sorted,215,0.4999405083829111,0
sorted,216,0.4999542864261828,0
sorted,217,0.4999565317802464,0
sorted,218,0.4999556145316059,0
sorted,219,0.49994331331707037,0
sorted,220,0.49994608729338896,0
sorted,221,0.4999475338342787,0
sorted,222,0.49994531059775876,0
sorted,223,0.4999547547708602,0
sorted,224,0.4999559363540353,0
sorted,225,0.4999561728395095,0
sorted,226,0.4999548772907034,0
sorted,227,0.49995118040326686,0
sorted,228,0.4999526597126045,0
sorted,229,0.4999496457924158,0
sorted,230,0.4999527410207946,0
sorted,231,0.49995959127452705,0
sorted,232,0.49995892283182314,0
sorted,233,0.49996229668993797,0
sorted,234,0.4999553416520549,0
sorted,235,0.49995331598008264,0
sorted,236,0.4999590410442385,0
sorted,237,0.4999521533230075,0
sorted,238,0.4999577956182483,0
sorted,239,0.49995678034348107,0
sorted,240,0.4999513075086801,0
sorted,241,0.4999513072261171,0
sorted,242,0.49995584424731776,0
sorted,243,0.4999550161730081,0
sorted,244,0.4999603706160993,0
sorted,245,0.4999583506872149,0
sorted,246,0.49995197551060794,0
sorted,247,0.49995646134176985,0
sorted,248,0.49995859009169985,0
sorted,249,0.49995539386461807,0
sorted,250,0.49995674999999906,0
sorted,251,0.49996329423342456,0
sorted,252,0.4999608784486026,0
sorted,253,0.49995410801606177,0
sorted,254,0.49995398428296917,0
sorted,255,0.49995242214532654,0
